date_time,magnitude,depth,latitude,longitude,sig,tsunami
10/17/2006 1:25,6.7,32,-5.881,150.982,692,0
10/20/2006 10:48,6.7,23,-13.457,-76.677,732,0
11/7/2006 17:38,6.6,11,-6.482,151.195,670,0
11/15/2006 11:14,8.3,10,46.592,153.266,1064,0
12/26/2006 12:26,7.1,10,21.799,120.547,1023,0
12/26/2006 12:34,6.9,10,21.974,120.493,798,0
1/13/2007 4:23,8.1,10,46.243,154.524,1034,0
1/21/2007 11:27,7.5,22,1.065,126.282,874,0
2/20/2007 8:04,6.7,12,-1.034,126.976,691,0
3/25/2007 0:40,7.1,34,-20.617,169.357,779,0
3/25/2007 0:41,6.7,8,37.336,136.588,782,0
4/1/2007 20:39,8.1,24,-8.466,157.043,1025,0
4/1/2007 20:47,6.6,10,-7.169,155.777,670,0
4/1/2007 21:11,6.9,10,-7.306,155.741,732,0
6/13/2007 19:29,6.7,23,13.554,-90.618,972,0
7/16/2007 1:13,6.6,12,37.535,138.446,831,0
7/16/2007 14:17,6.8,350.4,36.808,134.85,779,0
7/26/2007 5:40,6.9,25,2.872,127.464,734,0
8/1/2007 17:08,7.2,120,-15.595,167.68,803,0
8/8/2007 17:05,7.5,280,-5.859,107.419,865,0
8/15/2007 23:40,8,39,-13.386,-76.603,1385,0
8/16/2007 8:39,6.5,15,-9.834,159.465,675,0
9/2/2007 1:05,7.2,35,-11.61,165.762,798,0
9/10/2007 1:49,6.8,15,2.966,-77.963,747,0
9/12/2007 11:10,8.4,34,-4.438,101.367,1086,0
9/12/2007 23:49,7.8,40.5,-2.52,100.139,1152,0
9/12/2007 23:49,7.9,35,-2.625,100.841,1133,0
9/13/2007 2:30,6.5,28.9,-1.689,99.668,650,0
9/13/2007 3:35,7,22,-2.13,99.627,768,0
9/20/2007 8:31,6.7,30,-1.999,100.141,696,0
9/26/2007 12:36,6.8,40,-4.99,153.5,713,0
10/15/2007 12:29,6.8,18,-44.796,167.553,744,0
10/24/2007 21:02,6.8,21,-3.899,101.02,713,0
11/14/2007 15:40,7.7,40,-22.247,-69.89,995,0
11/15/2007 15:05,6.8,26,-22.925,-70.237,716,0
11/16/2007 3:13,6.8,122.9,-2.312,-77.838,790,0
11/22/2007 8:48,6.8,53,-5.757,147.098,722,0
11/25/2007 16:02,6.5,20,-8.292,118.37,657,0
11/25/2007 19:53,6.5,18,-8.224,118.467,653,0
11/27/2007 11:49,6.6,16,-10.95,162.149,672,0
11/29/2007 19:00,7.4,156,14.944,-61.274,1542,0
12/16/2007 8:09,6.7,45,-22.954,-70.182,704,0
12/20/2007 7:55,6.6,20,-39.011,178.291,808,0
2/12/2008 12:50,6.5,83,16.357,-94.304,723,0
2/14/2008 10:09,6.9,29,36.501,21.67,941,0
2/14/2008 12:08,6.5,28,36.345,21.863,692,0
2/20/2008 8:08,7.4,26,2.768,95.964,914,0
2/24/2008 14:46,6.5,22,-2.405,99.931,654,0
2/25/2008 8:36,7.2,25,-2.486,99.972,832,0
2/25/2008 18:06,6.6,25,-2.332,99.891,674,0
2/25/2008 21:02,6.7,25,-2.245,99.808,696,0
3/3/2008 14:11,6.9,24,13.351,125.63,740,0
3/20/2008 22:32,7.2,10,35.49,81.467,798,0
4/9/2008 12:46,7.3,33,-20.071,168.892,820,0
5/7/2008 16:45,6.9,27,36.164,141.526,910,0
5/12/2008 6:28,7.9,19,31.002,103.322,1870,0
6/13/2008 23:43,6.9,7.8,39.03,140.881,888,0
6/27/2008 11:40,6.6,17,11.005,91.824,680,0
7/19/2008 2:39,6.9,25.5,37.55,142.714,825,0
7/19/2008 2:39,7,22,37.552,142.214,840,0
7/23/2008 15:26,6.8,108,39.802,141.464,1046,0
8/25/2008 13:21,6.7,12,30.901,83.52,692,0
9/8/2008 18:52,6.9,110,-13.501,166.967,732,0
9/11/2008 0:00,6.6,96,1.885,127.363,670,0
9/11/2008 0:20,6.8,25,41.892,143.754,711,0
10/5/2008 15:52,6.7,27.4,39.533,73.824,691,0
10/16/2008 19:41,6.7,24,14.423,-92.364,731,0
11/16/2008 17:02,7.4,30,1.271,122.091,848,0
1/3/2009 19:43,7.7,17,-0.414,132.885,918,0
1/3/2009 20:23,6.6,204.8,36.419,70.743,765,0
1/3/2009 22:33,7.4,23,-0.691,133.305,846,0
2/11/2009 17:34,7.2,20,3.886,126.387,802,0
3/19/2009 18:17,7.6,31,-23.043,-174.66,916,0
5/28/2009 8:24,7.3,19,16.731,-86.217,1560,0
6/23/2009 14:19,6.7,64,-5.157,153.782,693,0
7/15/2009 9:22,7.8,12,-45.762,166.562,1165,0
8/3/2009 17:59,6.9,10,29.039,-112.903,1202,0
8/9/2009 10:55,7.1,292,33.167,137.944,1005,0
8/10/2009 19:55,7.5,24,14.099,92.902,1248,0
8/12/2009 22:48,6.6,53,32.821,140.395,703,0
8/16/2009 7:38,6.7,20,-1.479,99.49,753,0
9/2/2009 7:55,7,46,-7.782,107.297,1175,0
9/29/2009 17:48,8.1,18,-15.489,-172.095,1055,0
9/30/2009 10:16,7.6,81,-0.72,99.867,1639,0
10/1/2009 1:52,6.6,9,-2.482,101.524,787,0
10/7/2009 22:03,7.7,45,-13.006,166.51,916,0
10/7/2009 22:18,7.8,35,-12.517,166.382,936,0
10/7/2009 23:13,7.4,31.1,-13.093,166.497,842,0
10/8/2009 8:28,6.8,35,-13.298,165.91,711,0
10/24/2009 14:40,6.9,130,-6.133,130.385,972,0
10/30/2009 7:03,6.8,34,29.218,129.782,711,0
11/8/2009 19:41,6.6,18,-8.207,118.631,677,0
11/9/2009 10:44,7.3,595,-17.239,178.331,820,0
11/13/2009 3:05,6.5,27,-19.394,-70.321,698,0
1/3/2010 21:48,6.6,10,-8.726,157.487,672,0
1/3/2010 22:36,7.1,10,-8.783,157.354,780,0
1/5/2010 12:15,6.8,15.4,-9.019,157.551,713,0
1/10/2010 0:27,6.5,28.737,40.652,-124.692,1360,0
1/12/2010 21:53,7,13,18.443,-72.571,1623,0
2/26/2010 20:31,7,25,25.93,128.425,1180,0
2/27/2010 6:34,8.8,22.9,-36.122,-72.898,1991,0
2/27/2010 8:01,7.4,35,-37.773,-75.048,842,0
3/4/2010 14:02,6.5,176,-13.571,167.227,650,0
3/5/2010 11:47,6.6,18,-36.665,-73.374,736,0
3/5/2010 16:07,6.8,26,-3.762,100.991,717,0
3/11/2010 14:39,6.9,11,-34.29,-71.891,1280,0
3/11/2010 14:55,7,18,-34.326,-71.799,874,0
3/14/2010 8:08,6.5,32,37.745,141.59,810,0
3/16/2010 2:21,6.7,18,-36.217,-73.257,856,0
3/30/2010 16:54,6.6,34,13.667,92.831,701,0
